Indicador;Localidad;Ano;Valor
Número de lesiones comunes;PUENTE ARANDA;2009;279
Número de homicidios CICRI;RAFAEL URIBE URIBE;2009;89
Número de hurtos a personas;RAFAEL URIBE URIBE;2009;466
Número de hurtos a vehículos;RAFAEL URIBE URIBE;2009;112
Número de hurto a establecimientos de comercio;RAFAEL URIBE URIBE;2009;104
Número de hurtos a residencias;RAFAEL URIBE URIBE;2009;155
Número de lesiones comunes;RAFAEL URIBE URIBE;2009;539
Número de homicidios CICRI;SAN CRISTÓBAL;2009;101
Número de hurtos a personas;SAN CRISTÓBAL;2009;388
Número de hurtos a vehículos;SAN CRISTÓBAL;2009;122
Número de hurto a establecimientos de comercio;SAN CRISTÓBAL;2009;95
Número de hurtos a residencias;SAN CRISTÓBAL;2009;147
Número de lesiones comunes;SAN CRISTÓBAL;2009;590
Número de homicidios CICRI;SANTA FE;2009;82
Número de hurtos a personas;SANTA FE;2009;1405
Número de hurtos a vehículos;SANTA FE;2009;22
Número de hurto a establecimientos de comercio;SANTA FE;2009;210
Número de hurtos a residencias;SANTA FE;2009;134
Número de lesiones comunes;SANTA FE;2009;371
Número de homicidios CICRI;SUBA;2009;142
Número de hurtos a personas;SUBA;2009;1765
Número de hurtos a vehículos;SUBA;2009;420
Número de hurto a establecimientos de comercio;SUBA;2009;372
Número de hurtos a residencias;SUBA;2009;853
Número de lesiones comunes;SUBA;2009;1322
Número de hurtos a personas;SUMAPAZ;2009;0
Número de lesiones comunes;SUMAPAZ;2009;0
Número de homicidios CICRI;TEUSAQUILLO;2009;27
Número de hurtos a personas;TEUSAQUILLO;2009;1001
Número de hurtos a vehículos;TEUSAQUILLO;2009;130
Número de hurto a establecimientos de comercio;TEUSAQUILLO;2009;278
Número de hurtos a residencias;TEUSAQUILLO;2009;254
Número de lesiones comunes;TEUSAQUILLO;2009;134
Número de homicidios CICRI;TUNJUELITO;2009;45
Número de hurtos a personas;TUNJUELITO;2009;287
Número de hurtos a vehículos;TUNJUELITO;2009;67
Número de hurto a establecimientos de comercio;TUNJUELITO;2009;69
Número de hurtos a residencias;TUNJUELITO;2009;61
Número de lesiones comunes;TUNJUELITO;2009;268
Número de homicidios CICRI;USAQUÉN;2009;72
Número de hurtos a personas;USAQUÉN;2009;1112
Número de hurtos a vehículos;USAQUÉN;2009;257
Número de hurto a establecimientos de comercio;USAQUÉN;2009;214
Número de hurtos a residencias;USAQUÉN;2009;421
Número de lesiones comunes;USAQUÉN;2009;265
Número de homicidios CICRI;USME;2009;92
Número de hurtos a personas;USME;2009;322
Número de hurtos a vehículos;USME;2009;44
Número de hurto a establecimientos de comercio;USME;2009;77
Número de hurtos a residencias;USME;2009;159
Número de lesiones comunes;USME;2009;635
Número de homicidios CICRI;ANTONIO NARIÑO;2010;18
Número de hurtos a personas;ANTONIO NARIÑO;2010;378
Número de hurtos a vehículos;ANTONIO NARIÑO;2010;125
Número de hurto a establecimientos de comercio;ANTONIO NARIÑO;2010;100
Número de hurtos a residencias;ANTONIO NARIÑO;2010;64
Número de lesiones comunes;ANTONIO NARIÑO;2010;185
Número de homicidios CICRI;BARRIOS UNIDOS;2010;20
Número de hurtos a personas;BARRIOS UNIDOS;2010;760
Número de hurtos a vehículos;BARRIOS UNIDOS;2010;142
Número de hurto a establecimientos de comercio;BARRIOS UNIDOS;2010;260
Número de hurtos a residencias;BARRIOS UNIDOS;2010;191
Número de lesiones comunes;BARRIOS UNIDOS;2010;229
Número de homicidios CICRI;BOSA;2010;112
Número de hurtos a personas;BOSA;2010;907
Número de hurtos a vehículos;BOSA;2010;95
Número de hurto a establecimientos de comercio;BOSA;2010;180
Número de hurtos a residencias;BOSA;2010;295
Número de lesiones comunes;BOSA;2010;786
Número de homicidios CICRI;CHAPINERO;2010;11
Número de hurtos a personas;CHAPINERO;2010;1438
Número de hurtos a vehículos;CHAPINERO;2010;68
Número de hurto a establecimientos de comercio;CHAPINERO;2010;311
Número de hurtos a residencias;CHAPINERO;2010;298
Número de lesiones comunes;CHAPINERO;2010;180
Número de homicidios CICRI;CIUDAD BOLÍVAR;2010;237
Número de hurtos a personas;CIUDAD BOLÍVAR;2010;576
Número de hurtos a vehículos;CIUDAD BOLÍVAR;2010;61
Número de hurto a establecimientos de comercio;CIUDAD BOLÍVAR;2010;131
Número de hurtos a residencias;CIUDAD BOLÍVAR;2010;255
Número de lesiones comunes;CIUDAD BOLÍVAR;2010;1215
Número de homicidios CICRI;ENGATIVÁ;2010;89
Número de hurtos a personas;ENGATIVÁ;2010;1419
Número de hurtos a vehículos;ENGATIVÁ;2010;367
Número de hurto a establecimientos de comercio;ENGATIVÁ;2010;343
Número de hurtos a residencias;ENGATIVÁ;2010;540
Número de lesiones comunes;ENGATIVÁ;2010;707
Número de homicidios CICRI;FONTIBÓN;2010;22
Número de hurtos a personas;FONTIBÓN;2010;1014
Número de hurtos a vehículos;FONTIBÓN;2010;161
Número de hurto a establecimientos de comercio;FONTIBÓN;2010;182
Número de hurtos a residencias;FONTIBÓN;2010;246
Número de lesiones comunes;FONTIBÓN;2010;230
Número de homicidios CICRI;KENNEDY;2010;179
Número de hurtos a personas;KENNEDY;2010;1536
Número de hurtos a vehículos;KENNEDY;2010;461
Número de hurto a establecimientos de comercio;KENNEDY;2010;337
Número de hurtos a residencias;KENNEDY;2010;668
Número de lesiones comunes;KENNEDY;2010;1369
